PDB ID,Count
1a1t,20
1a34,1260
1a4t,15
1a9n,24
1aq3,1680
1aq4,1800
1asy,134
1asz,134
1aud,30
1av6,6
1b23,66
1b2m,1
1b7f,12
1biv,28
1bmv,660
1c04,87
1c0a,68
1c2w,2891
1c2x,120
1c9s,0
1cgm,147
1cvj,10
1cwp,600
1d6k,37
1ddl,540
1dfu,38
1di2,20
1dk1,57
1drz,72
1dul,48
1dv4,0
1dz5,44
1e7k,17
1e8o,49
1e8s,86
1ec6,20
1efw,63
1eg0,154
1eiy,152
1ekz,30
1emi,161
1eqq,0
1etf,34
1etg,34
1euq,72
1euy,73
1exd,74
1exy,33
1f6u,18
1f7u,63
1f7v,60
1f7y,57
1f8v,1500
1fcw,310
1feu,40
1ffk,2828
1ffy,75
1fg0,498
1fje,22
1fjg,1513
1fka,1479
1fnx,10
1foq,545
1fxl,9
1g1x,84
1g2e,10
1g59,75
1g70,32
1gax,75
1gsg,66
1gtf,0
1gtn,0
1gtr,74
1gts,74
1h1k,824
1h2c,24
1h2d,24
1h3e,160
1h4q,65
1h4s,65
1hc8,57
1hji,15
1hnw,1513
1hnx,1513
1hnz,1513
1hq1,48
1hr0,1513
1hvu,30
1i5l,3
1i6u,37
1i94,1514
1i95,1514
1i96,1514
1i97,1514
1i9f,34
1ibk,1512
1ibl,1532
1ibm,1528
1il2,67
1ivs,75
1j1u,148
1j2b,148
1j5a,2774
1j5e,1513
1jbr,30
1jbs,17
1jbt,29
1jgo,1738
1jgp,1743
1jgq,1747
1jid,26
1jj2,2876
1jzx,2774
1jzy,2774
1jzz,2774
1k01,2774
1k1g,11
1k73,2876
1k8a,2876
1k8w,21
1k9m,2876
1kc8,2876
1kd1,2876
1knz,5
1kog,74
1kq2,7
1kqs,2881
1kuq,57
1l1c,29
1l9a,125
1laj,180
1lng,97
1ls2,76
1lu3,16
1m1k,2876
1m5k,110
1m5o,112
1m5p,112
1m5v,112
1m8v,55
1m8w,16
1m8x,8
1m8y,10
1m90,2879
1mfq,127
1mj1,192
1mji,68
1ml5,4599
1mms,58
1mnb,28
1mvr,249
1mzp,55
1n1h,4
1n32,1531
1n33,1527
1n34,1517
1n35,13
1n36,1513
1n38,7
1n77,75
1n78,75
1n8r,2876
1nb7,4
1nji,2876
1njm,2790
1njn,2766
1njo,2769
1njp,2790
1nkw,2884
1nwx,2884
1nwy,2884
1nyb,24
1o0b,74
1o0c,74
1ob2,63
1ob5,186
1oln,58
1ond,2765
1ooa,29
1p6v,45
1p9x,2738
1pgl,360
1pn7,62
1pn8,68
1pvo,10
1q2r,19
1q2s,19
1q81,2878
1q82,2878
1q86,2882
1qa6,58
1qd7,0
1qf6,69
1qfq,15
1qrs,74
1qrt,74
1qru,74
1qtq,74
1qu2,75
1qu3,75
1qvf,2888
1qvg,2885
1qza,75
1qzb,75
1qzc,91
1qzw,45
1r2w,57
1r2x,57
1r3e,50
1r9f,80
1rc7,80
1rgo,9
1rkj,21
1rlg,22
1rmv,147
1rpu,42
1ry1,301
1s03,47
1s72,2871
1sds,45
1ser,62
1si3,18
1sj3,73
1sj4,73
1sjf,74
1sm1,2884
1sz1,124
